objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,,,,,,,,,,,,,,,,,,
coll002,IMG_1765.jpeg,,,Favorite,Matt Bodett,2025,Contrasting sections-scrawled lettering reading-Favorite-,,"Knoxville, Tennessee",,,Ewing Gallery,,Stillimage,image/jpeg,eng,Ewing Gallery,
coll003,IMG_1768.jpeg,,,I-need-you,Matt Bodett,2025,Abstract color blocking in blue and red,,"Knoxville,Tennessee",,,Ewing Gallery ,,Stillimage,image/jpeg,eng,Ewing Gallery,
coll004,IMG_1772.jpeg,,,Rosie-1,David Johnson,2013,Digital word document-0 typed repeatedly,,"Knoxville,Tennessee",,,Ewing Gallery,,"Sound,Stillimage",image/jpeg,eng,Ewing Gallery,
coll005,IMG_1775.jpeg,,,Zora-HowIUnderstand,Riva Lehrer,2009,Figure embracing black dog,,"Knoxville,Tennessee",,,Ewing Gallery,,Stillimage,image/jpeg,eng,Ewing Gallery,
coll006,IMG_1777.jpeg,,,Brain-Fog,KYRIANNA,2022,Closeup portrait-water droplets and frogs covering face,,"Knoxville,Tennessee",,,Ewing Gallery,,Stillimage,image/jpeg,eng,Ewing Gallery,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
